# Agility shortcuts: loc, op, level, xp, ticks, origin tile, destination tile, requirements.
#
# Tiles, levels and gates come from the shortest-path RuneLite plugin's
# agility_shortcuts.tsv (https://github.com/Skretzo/shortest-path), BSD 2-Clause,
# Copyright (c) 2021 Skretzo. Xp is the wiki's, matched by loc id. Every loc, varbit and varp
# id was resolved to this cache's gameval symbols at generation time, so no raw id is here.
#
# Requirements are ';' separated: another skill (ranged=37), gear (gear=grapple) with the
# Agility level that crosses without it (bare=48), a quest
# (quest=quest_regicide, checked through the realm's quest requirement mode) or a raw var
# comparison (var=varbit.falador_diary_hard_complete>=1).
#
# A shortcut that can be failed carries its odds out of 256, the xp a fail still pays and the
# damage it deals, as low/high/failxp/damage - the wiki's numbers, blank where it cannot fail.
#
# symbol	op	level	xp	ticks	origin	destination	requirements	fail
loc.hosidiusquest_rock_snake	Climb	1	0	4	1686,9755,0	1688,9755,0		
loc.karam_dungeon_bamboo_logbalance1	Walk-across	1	0	7	2682,9506,0	2687,9506,0		
loc.karam_dungeon_bamboo_logbalance3	Walk-across	1	0	7	2687,9506,0	2682,9506,0		
loc.karam_dungeon_pipe	Squeeze-through	1	0	10	2698,9492,0	2698,9500,0		
loc.karam_dungeon_pipe	Squeeze-through	1	0	10	2698,9500,0	2698,9492,0		
loc.karam_dungeon_pipe2	Squeeze-through	1	8.5	10	2655,9566,0	2655,9573,0		
loc.karam_dungeon_pipe2	Squeeze-through	1	8.5	10	2655,9573,0	2655,9566,0		
loc.karam_dungeon_stone1	Jump-from	1	7.5	7	2649,9562,0	2647,9557,0		
loc.karam_dungeon_stone2	Jump-from	1	7.5	7	2647,9557,0	2649,9562,0		
loc.regicide_pitfall_side	Jump	1	0	4	2209,3201,0	2209,3205,0		
loc.regicide_pitfall_side	Jump	1	0	4	2209,3205,0	2209,3201,0		
loc.regicide_pitfall_side	Jump	1	0	4	2267,3201,0	2267,3205,0		
loc.regicide_pitfall_side	Jump	1	0	4	2267,3205,0	2267,3201,0		
loc.regicide_pitfall_side	Jump	1	0	4	2274,3172,0	2274,3176,0		
loc.regicide_pitfall_side	Jump	1	0	4	2274,3176,0	2274,3172,0		
loc.regicide_pitfall_side	Jump	1	0	4	2275,3262,0	2279,3262,0		
loc.regicide_pitfall_side	Jump	1	0	4	2279,3262,0	2275,3262,0		
loc.regicide_trap_tripwire	Step-over	1	0	8	2215,3153,0	2215,3156,0		
loc.regicide_trap_tripwire	Step-over	1	0	8	2215,3156,0	2215,3153,0		
loc.regicide_trap_tripwire	Step-over	1	0	8	2220,3152,0	2220,3155,0		
loc.regicide_trap_tripwire	Step-over	1	0	8	2220,3155,0	2220,3152,0		
loc.regicide_trap_tripwire	Step-over	1	0	8	2250,3168,0	2253,3168,0		
loc.regicide_trap_tripwire	Step-over	1	0	8	2253,3168,0	2250,3168,0		
loc.regicide_trap_tripwire	Step-over	1	0	8	2284,3188,0	2287,3188,0		
loc.regicide_trap_tripwire	Step-over	1	0	8	2287,3188,0	2284,3188,0		
loc.regicide_trap_tripwire	Step-over	1	0	8	2294,3242,0	2294,3245,0		
loc.regicide_trap_tripwire	Step-over	1	0	8	2294,3245,0	2294,3242,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2181,3208,0	2181,3212,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2181,3212,0	2181,3208,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2199,3169,0	2202,3169,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2202,3169,0	2199,3169,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2234,3181,0	2238,3181,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2238,3181,0	2234,3181,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2256,3227,0	2260,3227,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2260,3227,0	2256,3227,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2274,3163,0	2277,3163,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2277,3163,0	2274,3163,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2295,3213,0	2295,3217,0		
loc.regicide_trap_woodspring	Pass	1	0	6	2295,3217,0	2295,3213,0		
loc.swamp_cave_steppingstone_a	Jump-across	1	3	4	3204,9572,0	3208,9572,0		51/252/1/
loc.swamp_cave_steppingstone_a	Jump-across	1	3	4	3208,9572,0	3204,9572,0		51/252/1/
loc.swamp_cave_steppingstone_b	Jump-across	1	3	4	3221,9552,0	3221,9556,0		51/252/1/
loc.swamp_cave_steppingstone_b	Jump-across	1	3	4	3221,9556,0	3221,9552,0		51/252/1/
loc.xbows_fai_falador_castle_walls_crenalation	Jump	4	0	3	3032,3389,1	3032,3388,0		
loc.xbows_fai_falador_castle_walls_battlement	Jump	4	0	3	3033,3389,1	3033,3390,0		
loc.xbows_yanille_castlewall_battlement	Jump	4	0	3	2556,3073,1	2556,3072,0		
loc.xbows_yanille_castlewall_battlement	Jump	4	0	3	2556,3074,1	2556,3075,0		
loc.fai_falador_castle_crumble_mid	Climb-over	5	0.5	3	2934,3355,0	2936,3355,0		
loc.fai_falador_castle_crumble_mid	Climb-over	5	0.5	3	2936,3355,0	2934,3355,0		
loc.watchshortcut	Climb-up	5	25	2	2561,3108,0	2561,3111,0		
loc.xbows_raft_br	Grapple	8	0	3	3246,3179,0	3259,3179,0	ranged=37;strength=19;gear=grapple;bare=48	
loc.xbows_raft_br	Grapple	8	0	3	3259,3179,0	3246,3179,0	ranged=37;strength=19;gear=grapple;bare=48	
