# Built furniture locs, keyed by dbcol.furniture:model_obj.
# dbtable.furniture carries no loc column, and the obj and loc names use different
# vocabularies, so this mapping cannot be derived from the cache. It is transcribed
# from an OSRS 184 reference server, whose item ids match this cache's exactly.
# Several locs on a row are the parts of one multi-tile piece; which part goes where
# is decided by name, not by the order here.
# model_obj	loc[,loc...]
8023	13129,13132,13130,13131,13128,13126,13127
8024	13133,13134,13135,13136
8025	13137,13139,13138,13140
8026	13725,13145,13273,13147,13723
8027	13725,13141,13142,13144,13143,13723
8028	13381
8029	13382
8030	13383
8031	13148
8032	13149
8033	13150
8034	13151
8035	13152
8036	13153
8037	13154
8038	13155
8039	13156
8040	13157
8041	13158
8042	13159
8043	13160
8044	13161
8045	13162
8046	13163
8047	13164
8048	13165
8049	13166
8050	13167
8051	13168
8052	13169
8053	13170
8054	13171
8055	13172
8056	13173
8057	13174
8058	13175
8059	13176
8060	13177
8061	13178
8062	13179
8063	13182
8064	13185
8065	13188
8066	13191
8067	13194
8068	13197
8069	13200
8070	13202
8071	13204
8072	13206
8073	13208
8074	13210
8075	13212
8076	13217,13226,13235,13244,13253,13262,27073
8077	13218,13227,13236,13245,13254,13263,27074
8078	13219,13228,13237,13246,13255,13264,27075
8079	13214
8080	13215
8081	13216
8082	13271
8083	13272
8084	13273
8099	13307
8100	13308
8101	13309
8102	13798
8103	13814
8104	13782
8105	13737
8106	13769
8107	13753
8108	13300
8109	13301
8110	13302
8111	13303
8112	13304
8113	13305
8114	13306
8115	13293
8116	13294
8117	13295
8118	13296
8119	13297
8120	13298
8121	13299
8122	13344,13345
8123	13346,13347
8124	13348,13349
8125	13312
8126	13311
8127	13310
8128	13342
8129	13341
8130	13343
8131	13366
8132	13367
8133	13368
8134	13372
8135	13370
8136	13369
8137	2715
8138	13378
8139	13374
8140	13377
8141	13376
8142	13375
8143	13356
8144	13357
8145	13358
8146	13359
8147	13360
8148	13283
8149	13285
8150	13287
8151	13289
8152	13291
8153	13392
8154	13393
8155	13394
8156	13395
8157	13396
8158	13397
8159	13390
8160	13379
8161	13404
8162	13398
8163	13400
8164	13402
8165	13385
8166	13387
8167	13389
8168	4525
8169	4526
8170	4527
8171	4528
8172	4529
8173	4531
8174	4532
8175	4533
8176	4534
8177	4535
8178	4536
8179	4537
8180	5134
8181	5135
8182	5136
8183	5137
8184	5138
8185	5139
8187	5129
8188	5130
8189	5131
8190	5132
8191	5133
8192	6748
8193	6749
8194	6750
8195	6751
8196	5152
8197	5153
8198	5154
8199	5155
8200	5631
8201	5632
8202	5907
8203	6727,6728,6729
8204	6730,6731,6732
8205	6733,6734,6735
8206	6736,6737,6738
8207	6739,6740,6741
8208	6742,6743,6744
8209	6745,6746,6747
8210	5140
8211	5141
8212	5142
8213	5146
8214	5147
8215	5148
8216	13528
8217	13529
8218	13531
8219	13533
8220	13536
8221	13539
8222	13542
8223	13545,13552
8224	13546,13553
8225	13547,13554
8226	13548,13555
8227	13549,13556
8228	13550,13557
8229	13551,13558
8230	13559
8231	13561
8232	13563
8233	13565
8234	13566
8235	13567
8236	13574
8237	13575
8238	13576
8239	13568
8240	13569
8241	13570
8242	13571
8243	13572
8244	13573
8246	13577
8247	13578
8248	13579
8249	13497
8252	13499
8255	13501
8258	13503
8259	13505
8260	13481
8261	13482
8262	13483
8263	13484
8264	13485
8265	13486
8266	13487
8267	13488
8268	13489
8269	13490
8270	13491
8271	13492
8272	13493
8273	13494
8274	13495
8275	13496
8276	13507
8277	13508
8278	13509
8279	13519
8280	13521
8281	13520
8282	13522
8283	13523
8284	13524
8285	13510
8286	13511
8287	13512
8288	13513
8289	13517
8290	13514
8291	13518
8292	13516
8293	13515
8294	13525
8295	13526
8296	13527
8297	13313,13314
8298	13316,13317
8299	13319,13320
8300	13322,13323
8301	13325,13326
8302	13334,13335,13336
8303	13331,13332,13333
8304	13337
8305	13373
8306	13328
8307	13329
8308	13330
8309	6752
8310	6753
8311	6754
8312	6755
8313	6756
8314	6757
8315	6758
8316	6761,6760,6759
8317	6764,6763,6762
8318	6767,6766,6765
8319	6768
8320	6769
8321	6770
8322	6774
8323	6775
8324	6776
8325	6780
8326	6782
8327	6784
8328	13636
8329	13637
8330	13638
8331	13640
8332	13641
8333	13639
8334	13642
8335	13643
8336	13644
8337	13645
8338	13646
8339	13647
8340	13648
8341	13649
8342	13650
8343	13651
8344	13652
8345	13653
8346	13654
8347	13655
8348	13656
8349	13657
8350	13658
8351	13659
8352	13660
8353	13661
8354	13662
8355	13663
8356	13664
8357	13665
8358	13666
8359	13667
8360	13668
8361	13669
8362	13670
8363	13671
8364	13674
8365	13672
8366	13673
8367	13675
8368	13676
8369	13677
8370	13689,13687,13688,13686,13684,13685,27072
8371	13689,13687,13688,13686,13684,13685,27072
8372	13689,13687,13688,13686,13684,13685,27072
8373	13689,13687,13688,13686,13684,13685,27072
8374	13689,13687,13688,13686,13684,13685,27072
8375	6791,6806
8376	6792,6807
8377	6793,6807
8378	6794,6807
8379	6795,6807
8380	6796,6807
8381	6797,6807
8382	6798,6807
8383	6799,6807
8384	6786
8385	6786,6787
8386	6786,6787,6788
8387	6786,6787,6788,6789
8388	6786,6787,6788,6789,6790
8389	6800
8390	6801
8391	6802
8392	6803
8393	6804
8394	6805
9817	18766
9818	18767
9819	18768
9820	18769
9821	18770
9822	18771
9823	18772
9824	18774
9825	18776
9826	18778
9827	18780
9828	18782
9829	18784
9830	18786
9831	18788
9832	18790
9833	18792
9834	18794
9835	18796
9836	18798
9837	18800
9838	18802
9839	18804
9840	18806
9841	18808
12704	26297
12705	26298
12706	26299
12707	26830
12708	26831
12709	26832
12710	26834,26840,26846,26852
12711	26835,26841,26847,26853
12712	26836,26842,26848,26854
12713	26837,26843,26849,26855
12714	26838,26844,26850,26856
12715	26858
12716	26859
12717	26860
12718	26862,26866
12719	26863,26866
12720	26864,26866
12721	26868
12722	26870
12723	26871
12724	26872
20617	29147
20618	29148
20619	29149
20620	29150
20623	29151
20624	29152
20625	29153
20626	29154
20627	29155
20628	29156
20629	29157
20630	29164
20631	29165
20632	29166
20633	29226
20634	29146
20635	29227
20636	29228
20637	29229
20638	29230
20639	29237
20640	29238
20641	29239
20642	29240
20643	29241
20644	29242,29243,29244,29245,29246,29247
20645	29248,29249,29250,29251,29252,29253
20646	29254,29255,29256,29257,29258,29259,29260,29261
20647	29262,29263,29264
20648	29267,29268,29269
20649	29270,29271
20650	29272,29273
20651	29274,29275
20652	29276,29277
20745	29336
20746	29337
21037	29770
21038	29779
21039	29780
21213	28859
21788	31554
21911	31984
21912	31977
21913	31986
