ingame_name,npc_id,npc_id_expanded,x,y,plane,region,is_attackable?,wiki_version,,
Ogre shaman,6210,4389|4390,2577,9451,0,region_kandarin,1,Ogre shaman#3,,"|x:2577,y:9451"
Ogre shaman,6209,4387|4388,2582,9437,0,region_kandarin,1,Ogre shaman#2,,"|x:2582,y:9437"
Ogre shaman,6208,4386|4383,2592,9436,0,region_kandarin,1,Ogre shaman#1,,"|x:2592,y:9436"
Ogre shaman,6211,4392|4391,2599,9461,0,region_kandarin,1,Ogre shaman#4,,"|x:2599,y:9461"
Ogre shaman,6213,4395|4396,2606,9438,0,region_kandarin,1,Ogre shaman#6,,"|x:2606,y:9438"
Ogre shaman,6212,4393|4394,2607,9451,0,region_kandarin,1,Ogre shaman#5,,"|x:2607,y:9451"
Alomone,11976,12092|12093,2608,9671,0,region_kandarin,1,Alomone,,"|x:2608,y:9671"
Menaphite Thug,6138,3549|3550,3333,2952,0,region_desert,1,Menaphite Thug#After Quest,,"|x:3333,y:2952"
Menaphite Thug,6138,3549|3550,3338,2946,0,region_desert,1,Menaphite Thug#After Quest,,"|x:3338,y:2946"
Menaphite Thug,6138,3549|3550,3338,2950,0,region_desert,1,Menaphite Thug#After Quest,,"|x:3338,y:2950"
Menaphite Thug,6138,3549|3550,3342,2958,0,region_desert,1,Menaphite Thug#After Quest,,"|x:3342,y:2958"
Menaphite Thug,6138,3549|3550,3344,2950,0,region_desert,1,Menaphite Thug#After Quest,,"|x:3344,y:2950"
Menaphite Thug,6138,3549|3550,3346,2945,0,region_desert,1,Menaphite Thug#After Quest,,"|x:3346,y:2945"
Menaphite Thug,6138,3549|3550,3346,2954,0,region_desert,1,Menaphite Thug#After Quest,,"|x:3346,y:2954"
Menaphite Thug,6138,3549|3550,3347,2961,0,region_desert,1,Menaphite Thug#After Quest,,"|x:3347,y:2961"
Menaphite Thug,6138,3549|3550,3351,2961,0,region_desert,1,Menaphite Thug#After Quest,,"|x:3351,y:2961"
Menaphite Thug,6138,3549|3550,3352,2951,0,region_desert,1,Menaphite Thug#After Quest,,"|x:3352,y:2951"
Bandit,1975,734|735,3354,2987,0,region_desert,1,Bandit (Pollnivneach)#No beard,,"|x:3354,y:2987"
Bandit,1976,736|737,3354,2994,0,region_desert,1,Bandit (Pollnivneach)#Bearded,,"|x:3354,y:2994"
Bandit,1975,734|735,3354,3000,0,region_desert,1,Bandit (Pollnivneach)#No beard,,"|x:3354,y:3000"
Bandit,1976,736|737,3357,3001,0,region_desert,1,Bandit (Pollnivneach)#Bearded,,"|x:3357,y:3001"
Bandit,1976,736|737,3360,2999,0,region_desert,1,Bandit (Pollnivneach)#Bearded,,"|x:3360,y:2999"
Bandit,1975,734|735,3361,3003,0,region_desert,1,Bandit (Pollnivneach)#No beard,,"|x:3361,y:3003"
Bandit,1975,734|735,3362,2988,0,region_desert,1,Bandit (Pollnivneach)#No beard,,"|x:3362,y:2988"
Bandit,1976,736|737,3367,2997,0,region_desert,1,Bandit (Pollnivneach)#Bearded,,"|x:3367,y:2997"
Bandit,1975,734|735,3371,2984,0,region_desert,1,Bandit (Pollnivneach)#No beard,,"|x:3371,y:2984"
Evil Creature,12506,12476|12477,2542,3170,0,region_kandarin,1,Evil Creature#Standard,,"|x:2542,y:3170"
Zombie,7487,7487,1592,3760,0,region_kourend,1,Zombie#Level 76,,"|x:1592,y:3760"
Zombie,7487,7487,1483,3534,0,region_kourend,1,Zombie#Level 76,,"|x:1483,y:3534"
Zombie,7488,7488,1482,3530,0,region_kourend,1,Zombie#Level 72,,"|x:1482,y:3530"
Zombie,7485,7485,1591,3767,0,region_kourend,1,Zombie#Level 70,,"|x:1591,y:3767"
Zombie,7485,7485,1594,3765,0,region_kourend,1,Zombie#Level 70,,"|x:1594,y:3765"
Zombie,7485,7485,1478,3531,0,region_kourend,1,Zombie#Level 70,,"|x:1478,y:3531"
Zombie,7486,7486,1589,3764,0,region_kourend,1,Zombie#Level 56,,"|x:1589,y:3764"
Zombie,7486,7486,1480,3536,0,region_kourend,1,Zombie#Level 56,,"|x:1480,y:3536"
Zombie,2509,2509,1988,5237,0,region_misthalin,1,Zombie#Level 53,,"|x:1988,y:5237"
Zombie,2507,2507,1988,5242,0,region_misthalin,1,Zombie#Level 53,,"|x:1988,y:5242"
Zombie,2507,2507,1990,5234,0,region_misthalin,1,Zombie#Level 53,,"|x:1990,y:5234"
Zombie,2508,2508,1990,5236,0,region_misthalin,1,Zombie#Level 53,,"|x:1990,y:5236"
Zombie,2507,2507,1992,5238,0,region_misthalin,1,Zombie#Level 53,,"|x:1992,y:5238"
